업체명,주소,위도,경도
남성레미콘(주),경기도 화성시 향남읍 발안로 284-13,37.13254,126.938518
삼광레미콘 주식회사,경기도 양평군 양평읍 대흥로 182,37.479087,127.548099
이순산업 주식회사,경기도 포천시 내촌면 금강로 2199-50,37.773468,127.225208
(주)만아,경기도 포천시 내촌면 금강로 2768-152,37.811463,127.258094
(주)신흥,경기도 파주시 중앙로 60-45,37.752495,126.796053
아세아시멘트(주)수원공장,경기도 수원시 권선구 덕영대로 1006(세류동),37.259553,127.004206
한라엔컴(ENCOM)(주)화성사업소,경기도 화성시 우정읍 포승향남로 1170-5,37.052021,126.798893
(주)토성레미콘,경기도 포천시 영중면 은잿말길 294-30,38.007329,127.218679
쌍용레미콘(주)파주사업소,경기도 파주시 천정구로 155(교하동),37.74819,126.749946
주식회사 정선레미콘,경기도 안양시 동안구 학의로 322(관양동),37.399065,126.971707
주식회사 청광,경기도 용인시 처인구 모현읍 백옥대로 2183-1,37.319492,127.241073
영산콘크리트공업(주),경기도 용인시 처인구 모현읍 오산로 45-40,37.330768,127.163524
에스와이삼양기업 주식회사,경기도 포천시 소흘읍 거친봉이길 58-14,37.790548,127.130439
한라엔컴(ENCOM)(주)파주사업소,경기도 파주시 탄현면 월롱산로 301,37.800656,126.75389
유진기업(주)안성,경기 안성시 대덕면 만세로 145,37.029665,127.230465
(주)대왕레미콘,경기도 안성시 양성면 양성로 94-12,37.064022,127.200606
쌍용레미콘(주) 양주사업소,경기도 양주시 칠봉산로131번길 34-33(회암동),37.847541,127.077138
(주)삼표산업 안양공장,경기도 안양시 만안구 안양천서로 45(안양동),37.384705,126.939238
에스와이평안산업주식회사,경기도 포천시 신북면 청신로2120,37.935421,127.223984
흥국산업(주),경기도 하남시 초광산단로 20,37.526857,127.169577
주식회사 에스에이치산하인더스트리(SH산하인더스트리),경기도 남양주시 와부읍 수레로 733,37.622291,127.278038
(주)원방산업,경기도 남양주시 진건읍 독정로273번길 64,37.676784,127.200878
한일시멘트(주)성남공장,경기도 성남시 중원구 둔촌대로 424,37.432035,127.164217
아주산업(주)병점공장,경기도 화성시 효행로 981(진안동),37.211976,127.034648
(주)진도레미콘,경기도 가평군 가평읍 경춘로 1789,37.7993,127.480157
태백산업(주),경기도 안성시 삼죽면 삼죽로 49,37.06855,127.370424
(주)장원기업,경기도 양주시 남면 화합로610번길 2-61,37.868261,126.99645
한일산업(주)파주공장,경기도 파주시 파주읍 광탄천로 253,37.801379,126.821633
유진기업(주)평택,경기도 안성시 원곡면 청원로 1752-55(205-38번지),37.038885,127.110531
이순산업(주)동두천,경기도 동두천시 갈마지길 205(상패동),37.895952,127.038391
세종레미콘(주),경기도 화성시 양감면 암소고개로 104,37.076768,126.929797
